season,week,half_life,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win
2014,5,10,CAR,CHI,0.0604650052179621,1.0,0,7.0,True
2014,5,10,DAL,HOU,0.1303802816687465,1.0,0,3.0,True
2014,5,10,DET,BUF,-0.046267662395332,1.0,0,-3.0,False
2014,5,10,IND,BAL,-0.1661368704174263,1.0,0,7.0,True
2014,5,10,JAX,PIT,-0.2216097506443794,1.0,0,-8.0,False
2014,5,10,NO,TB,0.1929702137008978,1.0,0,6.0,True
2014,5,10,NYG,ATL,-0.0193152339655713,1.0,3,10.0,True
2014,5,10,TEN,CLE,-0.2022384818867262,1.0,-7,-1.0,False
2014,5,10,DEN,ARI,-0.1028030325268607,1.0,0,21.0,True
2014,5,10,SF,KC,-0.0983134755071435,1.0,1,5.0,True
2014,5,10,NE,CIN,-0.2018573781861713,1.0,-8,26.0,True
2014,5,10,WAS,SEA,-0.1594728505474608,1.0,-4,-10.0,False
2014,5,20,GB,MIN,0.2683436671308462,1.0,0,32.0,True
2014,5,20,CAR,CHI,0.0670627029718886,1.0,0,7.0,True
2014,5,20,DAL,HOU,0.1145571200033133,1.0,0,3.0,True
2014,5,20,DET,BUF,-0.0412338802300459,1.0,0,-3.0,False
2014,5,20,IND,BAL,-0.1768700809579136,1.0,0,7.0,True
2014,5,20,JAX,PIT,-0.1983195335948594,1.0,0,-8.0,False
2014,5,20,NO,TB,0.1991311712776085,1.0,0,6.0,True
2014,5,20,NYG,ATL,-0.0291847599248239,1.0,3,10.0,True
2014,5,20,TEN,CLE,-0.1922777331944849,1.0,-7,-1.0,False
2014,5,20,DEN,ARI,-0.0944882663379656,1.0,0,21.0,True
2014,5,20,SF,KC,-0.0894125546740894,1.0,1,5.0,True
2014,5,20,NE,CIN,-0.1887093965231157,1.0,-8,26.0,True
2014,5,20,WAS,SEA,-0.160659708133883,1.0,-4,-10.0,False
2014,5,50,GB,MIN,0.2586740062668566,1.0,0,32.0,True
2014,5,50,CAR,CHI,0.0710531553773942,1.0,0,7.0,True
2014,5,50,DAL,HOU,0.105037231208378,1.0,0,3.0,True
2014,5,50,DET,BUF,-0.0379782592194209,1.0,0,-3.0,False
2014,5,50,IND,BAL,-0.1832982611684626,1.0,0,7.0,True
2014,5,50,JAX,PIT,-0.1843872784081535,1.0,0,-8.0,False
2014,5,50,NO,TB,0.2026238086498279,1.0,0,6.0,True
2014,5,50,NYG,ATL,-0.03528931467349,1.0,3,10.0,True
2014,5,50,TEN,CLE,-0.1862993456402719,1.0,-7,-1.0,False
2014,5,50,DEN,ARI,-0.089548100514657,1.0,0,21.0,True
2014,5,50,SF,KC,-0.0840068482821445,1.0,1,5.0,True
2014,5,50,NE,CIN,-0.18098920627065,1.0,-8,26.0,True
2014,5,50,WAS,SEA,-0.1615721774567154,1.0,-4,-10.0,False
2014,5,100,GB,MIN,0.2554006807492543,1.0,0,32.0,True
2014,5,100,CAR,CHI,0.0723879168434337,1.0,0,7.0,True
2014,5,100,DAL,HOU,0.1018607286085786,1.0,0,3.0,True
2014,5,100,DET,BUF,-0.0368538691340554,1.0,0,-3.0,False
2014,5,100,IND,BAL,-0.1854377823630997,1.0,0,7.0,True
2014,5,100,JAX,PIT,-0.1797528576540239,1.0,0,-8.0,False
2014,5,100,NO,TB,0.2037543844227349,1.0,0,6.0,True
2014,5,100,NYG,ATL,-0.0373540333468018,1.0,3,10.0,True
2014,5,100,TEN,CLE,-0.1843073213313074,1.0,-7,-1.0,False
2014,5,100,DEN,ARI,-0.0879099282117026,1.0,0,21.0,True
2014,5,100,SF,KC,-0.0821944197204095,1.0,1,5.0,True
2014,5,100,NE,CIN,-0.1784448472227885,1.0,-8,26.0,True
2014,5,100,WAS,SEA,-0.161910132136624,1.0,-4,-10.0,False
2014,6,2,HOU,IND,-0.1969022884284317,1.0,0,-5.0,False
2014,6,2,BUF,NE,0.0009450878056446,1.0,0,-15.0,False
2014,6,2,CIN,CAR,0.0527183605126771,1.0,0,0.0,False
2014,6,2,CLE,PIT,-0.0764322992722674,1.0,0,21.0,True
2014,6,2,MIA,GB,-0.2403349672525243,1.0,4,-3.0,False
2014,6,2,MIN,DET,-0.1188721247404535,1.0,3,-14.0,False
2014,6,2,NYJ,DEN,-0.1792522015866837,1.0,0,-14.0,False
2014,6,2,TB,BAL,-0.159537210746916,1.0,0,-31.0,False
2014,6,2,TEN,JAX,0.2258891842285262,1.0,0,2.0,True
2014,6,2,ARI,WAS,-0.0151939681358894,1.0,1,10.0,True
2014,6,2,ATL,CHI,-0.144829853524971,1.0,0,-14.0,False
2014,6,2,SEA,DAL,0.1083576980254005,1.0,-1,-7.0,False
2014,6,2,PHI,NYG,-0.3144866258471165,1.0,0,27.0,True
2014,6,4,HOU,IND,-0.0649181987454732,1.0,0,-5.0,False
2014,6,4,BUF,NE,-0.0291718544265313,1.0,0,-15.0,False
2014,6,4,CIN,CAR,0.067852191130799,1.0,0,0.0,False
2014,6,4,CLE,PIT,-0.0189058558243253,1.0,0,21.0,True
2014,6,4,MIA,GB,-0.1893664589513678,1.0,4,-3.0,False
2014,6,4,MIN,DET,-0.1123272251921034,1.0,3,-14.0,False
2014,6,4,NYJ,DEN,-0.1437888424853091,1.0,0,-14.0,False
2014,6,4,TB,BAL,-0.219067434134256,1.0,0,-31.0,False
2014,6,4,TEN,JAX,0.1685543594545906,1.0,0,2.0,True
2014,6,4,ARI,WAS,-0.0016828739286574,1.0,1,10.0,True
2014,6,4,ATL,CHI,-0.1006969379607469,1.0,0,-14.0,False
