game_id,season,week,game_date,home_team,away_team,home_score,away_score
401282153,2021,13,2021-11-27T20:45:00.000Z,Tennessee,Vanderbilt,45,21
401282154,2021,14,2021-12-04T21:00:00.000Z,Alabama,Georgia,41,24
401282156,2021,14,2021-12-04T00:00:00.000Z,UTSA,Western Kentucky,49,41
401282174,2021,1,2021-09-04T19:30:00.000Z,Navy,Marshall,7,49
401282177,2021,1,2021-09-05T00:00:00.000Z,South Alabama,Southern Miss,0,0
401282179,2021,1,2021-09-04T23:30:00.000Z,Illinois,UTSA,30,37
401282182,2021,2,2021-09-11T23:00:00.000Z,Florida International,Texas State,17,17
401282183,2021,2,2021-09-11T19:30:00.000Z,Florida Atlantic,Georgia Southern,1,0
401282186,2021,2,2021-09-11T18:00:00.000Z,Virginia Tech,Middle Tennessee,0,0
401282187,2021,2,2021-09-11T23:00:00.000Z,SMU,North Texas,35,12
401282189,2021,2,2021-09-11T22:30:00.000Z,Rice,Houston,7,38
401282191,2021,2,2021-09-11T01:30:00.000Z,Boise State,UTEP,54,13
401282193,2021,2,2021-09-11T15:30:00.000Z,Army,Western Kentucky,38,35
401282194,2021,3,2021-09-18T22:00:00.000Z,UTSA,Middle Tennessee,27,13
401282195,2021,3,2021-09-18T23:30:00.000Z,North Texas,UAB,6,40
401282196,2021,3,2021-09-18T23:00:00.000Z,Georgia State,Charlotte,20,9
401282197,2021,3,2021-09-18T23:00:00.000Z,Texas Tech,Florida International,54,21
401282199,2021,3,2021-09-18T19:30:00.000Z,Louisiana Tech,SMU,37,39
401282200,2021,3,2021-09-18T22:00:00.000Z,Marshall,East Carolina,38,42
401282201,2021,3,2021-09-18T22:00:00.000Z,Liberty,Old Dominion,45,17
401282202,2021,3,2021-09-19T00:00:00.000Z,Texas,Rice,0,0
401282203,2021,3,2021-09-18T23:00:00.000Z,Southern Miss,Troy,9,21
401282204,2021,4,2021-09-24T22:30:00.000Z,Charlotte,Middle Tennessee,42,39
401282205,2021,4,2021-09-25T23:00:00.000Z,Louisiana Tech,North Texas,24,17
401282206,2021,4,2021-09-25T16:00:00.000Z,Central Michigan,Florida International,31,27
401282207,2021,4,2021-09-26T00:00:00.000Z,Air Force,Florida Atlantic,31,7
401282208,2021,4,2021-09-23T23:30:00.000Z,App State,Marshall,31,30
401282209,2021,4,2021-09-25T22:00:00.000Z,Old Dominion,Buffalo,34,35
401282211,2021,4,2021-09-26T00:00:00.000Z,Tulane,UAB,21,28
401282212,2021,4,2021-09-26T01:00:00.000Z,UTEP,New Mexico,20,13
401282213,2021,4,2021-09-25T19:30:00.000Z,Memphis,UTSA,28,28
401282214,2021,4,2021-09-26T00:00:00.000Z,Western Kentucky,Indiana,31,33
401282215,2021,5,2021-10-02T19:30:00.000Z,Florida Atlantic,Florida International,58,21
401282216,2021,5,2021-10-02T23:00:00.000Z,Middle Tennessee,Marshall,34,28
401282217,2021,5,2021-10-03T01:00:00.000Z,UTEP,Old Dominion,26,21
401282218,2021,5,2021-10-02T22:30:00.000Z,Rice,Southern Miss,24,19
401282219,2021,5,2021-10-02T16:00:00.000Z,Illinois,Charlotte,24,14
401282220,2021,5,2021-10-02T22:00:00.000Z,NC State,Louisiana Tech,34,27
401282221,2021,5,2021-10-02T23:00:00.000Z,UAB,Liberty,5,36
401282222,2021,5,2021-10-02T22:00:00.000Z,UTSA,UNLV,24,17
401282223,2021,5,2021-10-02T23:30:00.000Z,Michigan State,Western Kentucky,48,31
401282224,2021,6,2021-10-08T23:00:00.000Z,Florida International,Charlotte,33,45
401282225,2021,6,2021-10-09T19:30:00.000Z,UAB,Florida Atlantic,31,14
401282226,2021,6,2021-10-09T18:00:00.000Z,Marshall,Old Dominion,0,0
401282227,2021,6,2021-10-09T23:00:00.000Z,Southern Miss,UTEP,13,26
401282228,2021,6,2021-10-09T23:00:00.000Z,Western Kentucky,UTSA,46,52
401282229,2021,6,2021-10-09T19:30:00.000Z,Liberty,Middle Tennessee,41,13
401282230,2021,7,2021-10-17T01:00:00.000Z,UTEP,Louisiana Tech,19,3
401282231,2021,7,2021-10-15T23:00:00.000Z,North Texas,Marshall,21,49
401282232,2021,7,2021-10-16T19:30:00.000Z,Old Dominion,Western Kentucky,20,43
401282233,2021,7,2021-10-16T22:00:00.000Z,UTSA,Rice,45,0
401282234,2021,7,2021-10-16T19:30:00.000Z,Southern Miss,UAB,0,34
401282235,2021,8,2021-10-21T23:30:00.000Z,Charlotte,Florida Atlantic,9,38
401282236,2021,8,2021-10-23T23:00:00.000Z,Florida International,Western Kentucky,0,0
401282237,2021,8,2021-10-23T23:00:00.000Z,Louisiana Tech,UTSA,0,0
401282238,2021,8,2021-10-23T19:30:00.000Z,UAB,Rice,24,30
401282239,2021,8,2021-10-22T22:00:00.000Z,UConn,Middle Tennessee,13,44
401282240,2021,8,2021-10-23T20:00:00.000Z,North Texas,Liberty,26,35
401282241,2021,9,2021-10-30T20:00:00.000Z,Western Kentucky,Charlotte,45,13
401282242,2021,9,2021-10-30T19:30:00.000Z,Marshall,Florida International,37,0
401282243,2021,9,2021-10-30T22:00:00.000Z,Florida Atlantic,UTEP,20,10
401282244,2021,9,2021-10-30T19:30:00.000Z,Old Dominion,Louisiana Tech,20,20
401282245,2021,9,2021-10-30T19:30:00.000Z,Middle Tennessee,Southern Miss,35,10
401282246,2021,9,2021-10-30T18:00:00.000Z,Rice,North Texas,24,24
401282247,2021,10,2021-11-06T19:30:00.000Z,Charlotte,Rice,31,24
401282248,2021,10,2021-11-06T23:00:00.000Z,Florida International,Old Dominion,24,47
401282249,2021,10,2021-11-06T22:00:00.000Z,Florida Atlantic,Marshall,0,0
401282250,2021,10,2021-11-06T16:00:00.000Z,UAB,Louisiana Tech,52,38
401282251,2021,10,2021-11-06T19:30:00.000Z,Western Kentucky,Middle Tennessee,48,21
401282252,2021,10,2021-11-06T19:00:00.000Z,Southern Miss,North Texas,14,38
401282253,2021,10,2021-11-07T02:15:00.000Z,UTEP,UTSA,23,44
401282254,2021,11,2021-11-13T20:30:00.000Z,Louisiana Tech,Charlotte,42,32
401282255,2021,11,2021-11-13T20:30:00.000Z,Middle Tennessee,Florida International,0,0
401282256,2021,11,2021-11-13T20:30:00.000Z,Old Dominion,Florida Atlantic,30,16
401282257,2021,11,2021-11-13T20:30:00.000Z,Marshall,UAB,14,21
401282258,2021,11,2021-11-13T21:00:00.000Z,North Texas,UTEP,17,17
401282259,2021,11,2021-11-13T19:00:00.000Z,Rice,Western Kentucky,21,42
401282260,2021,11,2021-11-13T20:30:00.000Z,UTSA,Southern Miss,27,17
401282261,2021,12,2021-11-20T20:30:00.000Z,Charlotte,Marshall,28,49
401282262,2021,12,2021-11-21T00:00:00.000Z,Florida International,North Texas,7,49
401282263,2021,12,2021-11-20T17:00:00.000Z,Western Kentucky,Florida Atlantic,52,17
401282264,2021,12,2021-11-20T01:00:00.000Z,Louisiana Tech,Southern Miss,0,0
401282265,2021,12,2021-11-20T20:30:00.000Z,Middle Tennessee,Old Dominion,0,0
401282266,2021,12,2021-11-20T21:00:00.000Z,UTEP,Rice,38,35
401282267,2021,12,2021-11-20T20:30:00.000Z,UTSA,UAB,34,31
401282268,2021,13,2021-11-27T19:00:00.000Z,Old Dominion,Charlotte,56,34
401282269,2021,13,2021-11-27T20:00:00.000Z,Southern Miss,Florida International,37,17
401282270,2021,13,2021-11-28T00:00:00.000Z,Florida Atlantic,Middle Tennessee,17,25
401282271,2021,13,2021-11-27T18:00:00.000Z,Rice,Louisiana Tech,35,31
401282272,2021,13,2021-11-27T20:30:00.000Z,Marshall,Western Kentucky,21,53
401282273,2021,13,2021-11-27T19:00:00.000Z,North Texas,UTSA,45,23
401282274,2021,13,2021-11-26T19:00:00.000Z,UAB,UTEP,42,25
401282607,2021,1,2021-09-02T23:30:00.000Z,NC State,South Florida,45,0
401282608,2021,1,2021-09-03T23:00:00.000Z,Wake Forest,Old Dominion,0,0
401282610,2021,1,2021-09-04T23:30:00.000Z,Georgia Tech,Northern Illinois,0,0
401282611,2021,1,2021-09-04T23:00:00.000Z,Ohio,Syracuse,0,0
401282612,2021,1,2021-09-04T20:00:00.000Z,Pittsburgh,Massachusetts,37,0
401282614,2021,1,2021-09-05T23:30:00.000Z,Florida State,Notre Dame,38,41
401282620,2021,2,2021-09-11T23:00:00.000Z,Miami,App State,25,23
401282621,2021,2,2021-09-11T23:30:00.000Z,North Carolina,Georgia State,59,17
401282622,2021,2,2021-09-11T18:00:00.000Z,Syracuse,Rutgers,7,17
401282623,2021,2,2021-09-11T19:30:00.000Z,Massachusetts,Boston College,28,45
401282624,2021,2,2021-09-11T15:00:00.000Z,Virginia,Illinois,42,14
401282626,2021,3,2021-09-17T23:30:00.000Z,Louisville,UCF,42,35
401282627,2021,3,2021-09-18T19:30:00.000Z,Clemson,Georgia Tech,14,8
401282628,2021,3,2021-09-18T20:00:00.000Z,Duke,Northwestern,30,23
401282629,2021,3,2021-09-18T16:00:00.000Z,Miami,Michigan State,17,38
401282631,2021,3,2021-09-18T23:30:00.000Z,North Carolina,Virginia,59,39
401282632,2021,3,2021-09-18T16:00:00.000Z,Pittsburgh,Western Michigan,41,44
401282634,2021,3,2021-09-18T16:00:00.000Z,Temple,Boston College,3,28
401282635,2021,3,2021-09-18T19:30:00.000Z,Wake Forest,Florida State,35,14
401282636,2021,3,2021-09-18T16:00:00.000Z,West Virginia,Virginia Tech,27,21
401282637,2021,4,2021-09-25T00:00:00.000Z,Syracuse,Liberty,24,21
401282638,2021,4,2021-09-24T23:00:00.000Z,Virginia,Wake Forest,17,37
401282639,2021,4,2021-09-25T20:00:00.000Z,Duke,Kansas,52,33
401282640,2021,4,2021-09-25T19:30:00.000Z,Florida State,Louisville,23,31
401282641,2021,4,2021-09-25T23:30:00.000Z,Georgia Tech,North Carolina,45,22
401282643,2021,4,2021-09-25T19:30:00.000Z,NC State,Clemson,27,21
401282646,2021,5,2021-09-30T23:30:00.000Z,Miami,Virginia,28,30
401282647,2021,5,2021-10-02T23:30:00.000Z,Clemson,Boston College,19,13
401282648,2021,5,2021-10-02T19:30:00.000Z,Florida State,Syracuse,33,30
401282649,2021,5,2021-10-02T16:00:00.000Z,Georgia Tech,Pittsburgh,21,52
401282650,2021,5,2021-10-02T16:00:00.000Z,North Carolina,Duke,38,7
401282651,2021,5,2021-10-02T16:30:00.000Z,Wake Forest,Louisville,37,34
401282652,2021,6,2021-10-09T16:30:00.000Z,Duke,Georgia Tech,27,31
401282653,2021,6,2021-10-09T19:00:00.000Z,Louisville,Virginia,33,34
401282654,2021,6,2021-10-09T19:30:00.000Z,North Carolina,Florida State,25,35
